Date,Ticker,Open,High,Low,Close,Volume,Volatility,Market_Cap_M
2025-12-23,ADWYA,5.95,5.95,5.95,5.95,9422,,128.0
2025-12-23,AETEC,0.32,0.32,0.31,0.31,214,3.13,0.7
2025-12-23,AL,150.02,150.7,150.7,150.7,1,0.45,247.0
2025-12-23,AB,47.5,47.65,47.65,47.65,6576,0.53,1664.0
2025-12-23,AMS,0.95,0.95,0.95,0.95,1574,,6.2
2025-12-23,ATB,3.7,3.72,3.7,3.7,68647,1.62,474.0
2025-12-23,ATL,6.05,6.05,6.0,6.0,56,0.83,195.0
2025-12-23,ARTES,11.7,11.7,11.65,11.65,657,0.77,446.0
2025-12-23,ASSAD,3.32,3.32,3.18,3.18,38406,4.22,76.3
2025-12-23,ASSMA,56.5,56.5,56.5,56.5,10128,,254.0
2025-12-23,AST,46.0,46.0,46.0,46.0,200,,276.0
2025-12-23,TJARI,65.7,66.0,65.7,65.7,6490,1.52,3285.0
2025-12-23,TJL,29.0,29.29,29.29,29.29,846,1.0,80.5
2025-12-23,BT,6.4,6.4,6.39,6.39,3639,0.78,1725.0
2025-12-23,BNA,12.05,12.15,12.05,12.05,2410,1.24,771.0
2025-12-23,BL,2.2,2.2,2.2,2.2,298,,66.0
2025-12-23,BHASS,63.0,63.0,63.0,63.0,30,,168.0
2025-12-23,BH,10.39,10.47,10.47,10.47,360,2.12,498.0
2025-12-23,BHL,3.79,3.79,3.79,3.79,80,,26.5
2025-12-23,BIAT,107.49,109.9,109.0,109.0,1242,2.7,4447.0
2025-12-23,BNASS,3.27,3.29,3.2,3.2,11175,4.28,281.0
2025-12-23,BTE,3.55,3.7,3.7,3.7,209,4.23,20.1
2025-12-23,CC,1.87,1.87,1.86,1.86,367685,2.14,639.0
2025-12-23,CELL,3.1,3.18,3.1,3.1,6386,2.58,13.8
2025-12-23,CREAL,13.3,13.3,13.3,13.3,42,,65.0
2025-12-23,CIL,27.17,27.17,27.15,27.15,10958,0.22,190.0
2025-12-23,SCB,0.52,0.52,0.5,0.5,1900,3.85,22.0
2025-12-23,CITY,19.5,19.7,19.7,19.7,92,1.03,355.0
2025-12-23,DH,13.13,13.19,13.13,13.13,12707,1.45,1442.0
2025-12-23,ELBEN,2.28,2.28,2.28,2.28,20,,22.8
2025-12-23,LSTR,0.31,0.31,0.3,0.3,555,3.23,3.1
2025-12-23,NAKL,15.0,15.15,15.15,15.15,563,3.0,455.0
2025-12-23,SOKNA,3.15,3.15,3.09,3.09,5440,1.9,15.6
2025-12-23,ECYCL,12.61,12.72,12.6,12.6,2503,3.33,123.0
2025-12-23,GIF,0.43,0.44,0.44,0.44,14344,2.33,4.6
2025-12-23,HL,7.6,7.6,7.6,7.6,1,,83.6
2025-12-23,XABYT,7.55,7.55,7.55,7.55,1,,15.7
2025-12-23,ICF,85.9,85.9,82.52,82.52,175,4.53,173.0
2025-12-23,LNDOR,14.74,14.74,14.63,14.63,4223,0.95,202.0
2025-12-23,MAG,10.6,10.6,10.43,10.43,1697,1.6,165.0
2025-12-23,AMV,6.8,6.8,6.7,6.7,1166,1.47,168.0
2025-12-23,SAM,4.7,4.74,4.73,4.73,5655,3.4,26.3
2025-12-23,MIP,0.08,0.08,0.08,0.08,50,,0.4
2025-12-23,MNP,6.2,6.2,6.2,6.2,885,,124.0
2025-12-23,MPBS,8.3,8.3,8.3,8.3,3886,0.12,85.8
2025-12-23,NBL,4.08,4.1,4.1,4.1,1006,6.13,17.4
2025-12-23,PLAST,1.84,1.9,1.84,1.84,10146,3.26,22.5
2025-12-23,OTH,8.85,8.85,8.82,8.82,252549,2.26,709.0
2025-12-23,PLTU,41.8,41.8,41.8,41.8,122,,41.8
2025-12-23,PGH,18.0,18.15,18.09,18.09,40454,2.5,3256.0
2025-12-23,SAH,13.8,13.8,13.8,13.8,35246,1.3,1159.0
2025-12-23,SMD,0.59,0.59,0.59,0.59,1490,,7.3
2025-12-23,SERVI,0.21,0.22,0.22,0.22,500,4.76,2.6
2025-12-23,SFBT,12.49,12.49,12.49,12.49,191508,3.92,3091.0
2025-12-23,SIAME,2.8,2.8,2.75,2.75,2349,5.0,42.5
2025-12-23,SIMPA,35.9,35.9,35.9,35.9,57,,39.5
2025-12-23,SIPHA,4.56,4.56,4.5,4.5,7,1.32,8.1
2025-12-23,SITS,3.15,3.15,3.11,3.11,250,1.27,48.5
2025-12-23,SMART,19.0,19.0,19.0,19.0,1433,1.05,192.0
2025-12-23,ALKIM,12.55,12.55,12.55,12.55,50,,49.5
2025-12-23,SOMOC,0.44,0.44,0.43,0.43,2709,2.27,17.5
2025-12-23,SOPAT,2.05,2.05,2.05,2.05,52796,,77.6
2025-12-23,SOTEM,3.0,3.0,3.0,3.0,2700,,104.0
2025-12-23,SOTET,5.07,5.14,5.08,5.08,3877,1.38,23.6
2025-12-23,STPAP,2.83,2.83,2.82,2.82,4043,2.83,79.5
2025-12-23,STPIL,22.39,22.39,22.39,22.39,1029,0.04,92.7
2025-12-23,MGR,8.99,9.0,8.99,8.99,218,0.56,119.0
2025-12-23,SOTUV,13.9,13.9,13.78,13.78,2596,2.01,541.0
2025-12-23,SPDIT,12.8,12.8,12.79,12.79,48,1.95,358.0
2025-12-23,STA,37.7,37.7,36.0,36.0,6713,4.51,72.0
2025-12-23,STAR,58.45,58.5,58.5,58.5,1621,0.09,135.0
2025-12-23,STB,4.1,4.12,4.12,4.12,18473,1.95,640.0
2025-12-23,STEQ,6.5,6.5,6.5,6.5,21015,,9.1
2025-12-23,STIP,2.97,2.98,2.98,2.98,10,0.34,12.5
2025-12-23,SPHAX,3.88,3.9,3.9,3.9,711,0.52,21.5
2025-12-23,TGH,0.83,0.85,0.85,0.85,39564,2.41,91.8
2025-12-23,TLNET,6.8,6.8,6.8,6.8,1934,1.47,82.5
2025-12-23,TPR,10.8,10.99,10.99,10.99,837896,2.69,550.0
2025-12-23,PX1,0.19,0.19,0.19,0.19,0,0.32,
2025-12-23,TINV,42.0,42.0,42.0,42.0,398,,40.6
2025-12-23,TRE,9.49,9.5,9.5,9.5,4472,2.74,190.0
2025-12-23,TAIR,0.34,0.34,0.33,0.33,22022,2.94,35.0
2025-12-23,TBIDX,231.68,231.68,231.68,231.68,0,,
2025-12-23,TLS,32.15,32.49,32.4,32.4,46414,2.46,350.0
2025-12-23,TVAL,17.48,17.48,17.48,17.48,416,,69.9
2025-12-23,UADH,0.58,0.58,0.56,0.56,5300,3.45,20.7
2025-12-23,UBCI,34.2,34.2,33.8,33.8,2096,1.17,676.0
2025-12-23,UIB,24.1,24.9,24.9,24.9,3,3.32,811.0
2025-12-23,UMED,9.06,9.06,9.0,9.0,4284,1.77,288.0
2025-12-23,WIFAK,7.8,7.8,7.78,7.78,101,5.0,233.0
